x1,x2,x3,x4,y
7.739560485559633385e-01,7.774048382411775648e-01,4.396366060169935586e-01,-1.176614719429301958e+00,1.008982961246130738e+00
4.388784397520523184e-01,9.718264260609673633e-01,5.241878428127709766e-01,-8.374634040851927086e-01,-4.663806038571662871e-01
8.585979199113824567e-01,5.007411862023423144e-01,2.762741793285537484e-01,2.354483683099303226e-01,1.171234878299596271e+00
6.973680290593639031e-01,1.438975025512507777e-01,-1.412765883892366459e+00,1.611116148499620815e+00,1.022400201325942337e+00
9.417734788764953180e-02,1.393628770820154461e-02,-2.310103436632644058e+00,-1.222374312539903141e+00,-1.273441378396033219e+00
9.756223516367559245e-01,2.296560299988552600e-01,5.435358539038226411e-02,2.490361223069419705e-01,1.869574018146175298e+00
7.611397019903529682e-01,1.318222177865210343e-01,-4.717760336383357567e-01,1.821298850813108716e+00,2.039497560852616687e+00
7.860643052769538119e-01,6.776586736128574762e-01,4.593857717166117682e-01,-1.651759148179267278e+00,1.428200784430069925e+00
1.281136326755458743e-01,1.218325046285311242e-01,7.019536262212701105e-01,-1.281069206845832031e+00,-4.017010538038285339e-01
4.503859378955671344e-01,5.063299316206330003e-01,1.382414320586819179e-01,-4.236066064608382531e-01,3.462763477272126078e-01
3.707980242325812359e-01,6.942624356428864774e-01,7.601330853758537787e-01,-5.205884128554110202e-01,6.017864370498593463e-01
9.267649888486018117e-01,5.811166092209023581e-01,2.292113741150684225e-01,8.126012877536445966e-01,2.262279304609695618e+00
6.438651200806645436e-01,1.997756516600576182e-01,5.300647056014666791e-01,2.416597198208380592e-01,2.309994831165231410e+00
8.227616132708299723e-01,8.041245261822627111e-01,-7.046732628698824108e-01,-1.774962059642128276e+00,5.271557594637531485e-01
4.434141988273311297e-01,7.154071296158016624e-01,-1.796114138314585384e-01,5.154104029008108601e-01,-6.129000336499148549e-01
2.272387217847768870e-01,7.389840039155417539e-01,1.967760966569572501e-01,-5.775388873556505098e-01,-1.239713207827304542e+00
5.545847870158348014e-01,1.310577515573132512e-01,8.205284754174188011e-01,1.274447216941239081e+00,1.984205548016765963e+00
6.381725610417532391e-02,1.237538036503446071e-01,-3.937411722245721113e-01,-6.275875364369196685e-01,-6.328640791786777076e-02
8.276311719925820709e-01,9.275625510065076407e-01,5.211672557321126442e-01,-6.366152831022356962e-01,1.532017597633319905e+00
6.316643991220648457e-01,3.975781938249406400e-01,-2.658387919153790135e-01,5.411316108045314266e-01,1.516907238929665391e+00
7.580877400853738290e-01,3.009486917809397477e-01,-1.175421673281303592e-01,7.629264823369366066e-01,1.547480424764590579e+00
3.545259681298683629e-01,4.885840453515333248e-01,8.295190420240730056e-01,4.480993639362035874e-01,-1.209336047318598784e-01
9.706980243949032694e-01,6.628642127635824277e-01,-1.993060371054155899e+00,-1.685597317384808225e+00,4.302821636250178661e-01
8.931211213221976752e-01,9.556232570469699317e-01,-1.296472328074760982e+00,5.380344399282510626e-01,2.284962832405352251e-01
7.783834970737618653e-01,2.864462268820550106e-01,-1.482185397442820740e+00,-1.034308051674398987e+00,9.201237160410630223e-01
1.946387078519675740e-01,9.248084293120271138e-01,-2.333616119848304749e+00,2.352761115882635035e-01,-2.721455849031131802e+00
4.667210037270341783e-01,2.485949138625631605e-02,-6.782644401551767288e-01,-1.423734435399060194e+00,1.137754215815951042e+00
4.380376578722877667e-02,5.551980423268246811e-01,7.494338997277404379e-01,4.463221475430636520e-01,-8.562467081333979824e-01
1.542894920675478287e-01,6.339751116810851128e-01,-2.848840663825747410e-01,-8.065989043073725773e-01,-1.261556822213500961e+00
6.830489532424546262e-01,1.058974037507532939e-01,1.977900819418521305e-01,-1.282634650260521703e+00,2.091973510348503318e+00
7.447621559078171360e-01,1.403395970639126356e-01,1.089217496710792599e+00,7.138201364823995032e-01,2.297219731886420035e+00
